"COUNTRY","Country","PRODUCT","Product","PLANT","Plant","BALANCE","Balance","TIME","Time","Value","Flag Codes","Flags"
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"GEO","Georgia","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"KSV","Kosovo","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"KSV","Kosovo","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"KSV","Kosovo","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MLT","Malta","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MLT","Malta","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MLT","Malta","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
